Variable Name,State,Price,Volume,Type,RPS,End Timepoint,Entry_Price,Exit_Price,Entry_Timepoint,Exit_Timepoint,Holding_Period,Final_Return,Positive_Return_Count,Position_Closed
GFS,4.542488481990878,60.650001525878906,2003870.0,Short,0,2201,62.75,59.150001525878906,2202,2208,6,0.05737049361149153,5,True
GPCR,5.349299158087317,35.470001220703125,199300.0,Short,0,2201,36.220001220703125,30.0,2202,2209,7,0.17172835480601287,5,True
GTLB,5.032171381594407,48.43000030517578,1623600.0,Short,0,2201,47.97999954223633,45.45000076293945,2202,2209,7,0.05273027935462445,5,True
HCP,4.490192964919982,29.0,1889920.0,Short,0,2201,29.26000022888184,28.850000381469727,2202,2209,7,0.014012298161481624,5,True
INFA,3.728452686959043,18.780000686645508,293320.0,Short,0,2201,18.61000061035156,20.309999465942383,2202,2222,20,-0.09134867274777105,1,False
IOT,4.623638088043134,26.0,2571950.0,Short,0,2201,27.709999084472656,25.290000915527344,2202,2208,6,0.08733302955254742,5,True
KNF,5.394823589599183,44.29999923706055,339910.0,Short,0,2201,43.90999984741211,48.13999938964844,2202,2222,20,-0.09633339915590158,2,False
KSCP,7.307342141706176,80.0,237804.4,Short,0,2201,75.5,63.0,2202,2207,5,0.16556291390728478,5,True
KVUE,4.0333114005694375,24.690000534057617,11223900.0,Short,0,2201,24.399999618530277,23.530000686645508,2202,2207,5,0.035655694487144965,5,True
MBLY,4.601768283489306,40.43999862670898,2283840.0,Short,0,2201,37.66999816894531,35.040000915527344,2202,2217,15,0.06981676085097627,5,True
MSGE,4.588135859377987,34.66999816894531,274090.0,Short,0,2201,35.40999984741211,33.2599983215332,2202,2207,5,0.060717354847321076,5,True
NXT,4.806240951159558,39.310001373291016,1299700.0,Short,0,2201,42.72999954223633,40.7400016784668,2202,2208,6,0.04657144594168611,5,True
ODD,8.43069781345545,51.84999847412109,1246550.0,Short,0,2201,50.59999847412109,45.310001373291016,2202,2216,14,0.1045454004022469,5,True
PHIN,4.99688381459058,28.61000061035156,1820260.0,Short,0,2201,27.34000015258789,26.34000015258789,2202,2219,17,0.03657644456543078,5,True
PKST,3.7178715518269354,23.799999237060547,158140.0,Short,0,2201,23.75,22.0,2202,2208,6,0.07368421052631578,5,True
PTLO,4.584622340613973,23.5,421060.0,Short,0,2201,22.82999992370605,19.63999938964844,2202,2208,6,0.1397284513674133,5,True
RIVN,5.270602432695093,27.14999961853028,68396850.0,Short,0,2201,26.940000534057617,24.799999237060547,2202,2209,7,0.07943582979115665,5,True
RXO,4.54673550804869,22.0,906620.0,Short,0,2201,21.8700008392334,19.850000381469727,2202,2209,7,0.09236398629395198,5,True
SDRL,5.578003550517355,46.25,763280.0,Short,0,2201,46.59000015258789,48.47999954223633,2202,2222,20,-0.040566631969488315,2,False
SKWD,4.622126422529394,24.89999961853028,202280.0,Short,0,2201,24.3700008392334,23.559999465942383,2202,2207,5,0.033237642404467624,5,True
SLRN,4.70844187752987,23.979999542236328,470300.0,Short,0,2201,25.3799991607666,24.46999931335449,2202,2207,5,0.035854999113586514,5,True
SVV,4.293509198841363,24.11000061035156,477620.0,Short,0,2201,24.450000762939453,23.940000534057617,2202,2207,5,0.02085890441585909,5,True
SXTP,3.912050722010384,26.76000022888184,382843.3,Short,0,2201,25.31999969482422,18.600000381469727,2202,2210,8,0.2654028196820302,5,True
TLN,5.707616023072071,52.69200134277344,113650.0,Short,0,2201,54.25,54.0,2202,2208,6,0.004608294930875576,5,True
TLNE,5.707616023072071,52.69200134277344,113648.6,Short,0,2201,54.25,54.0,2202,2208,6,0.004608294930875576,5,True
TPG,5.058208445840191,30.59000015258789,407580.0,Short,0,2201,30.09000015258789,29.93000030517578,2202,2207,5,0.00531737609174949,5,True
UHAL-B,5.12195095638627,57.79999923706055,278588.0,Short,0,2201,57.040000915527344,54.4900016784668,2202,2210,8,0.04470545575265567,5,True
VTMX,5.774428995293518,35.630001068115234,179800.0,Short,0,2201,36.560001373291016,34.099998474121094,2202,2207,5,0.06728672885026427,5,True
VTS,4.907278844490464,24.479999542236328,257950.0,Short,0,2201,24.84000015258789,24.56999969482422,2202,2208,6,0.010869583579110508,5,True
VTYX,4.868762422620845,36.209999084472656,426040.0,Short,0,2201,37.2400016784668,35.400001525878906,2202,2207,5,0.04940923924962737,5,True
NBTX,3.648502592861608,8.5600004196167,243530.0,Short,0,2201,7.800000190734863,10.649999618530272,2202,2222,20,-0.36538453309023583,4,False
NHYF,3.908225676328648,0.0070000002160668,1863925.5,Short,0,2201,0.0054999999701976,0.0054000001400709,2202,2222,20,0.018181787394283947,3,False
BGLC,3.833698312618951,3.049999952316284,2736610.0,Short,0,2201,3.0,1.870000004768372,2202,2207,5,0.3766666650772093,5,True
MLTX,3.646865057844584,59.01499938964844,627460.0,Short,0,2201,61.2599983215332,57.290000915527344,2202,2207,5,0.06480570543225733,5,True
AMPS,3.560746909740577,6.639999866485596,1166570.0,Short,0,2201,6.590000152587891,6.110000133514404,2202,2209,7,0.07283763398472616,5,True
ACLX,3.636534432830624,33.34000015258789,418140.0,Short,0,2203,34.18000030517578,35.77000045776367,2204,2224,20,-0.046518435880385914,4,False
AESI,4.056005601835449,19.520000457763672,351430.0,Short,0,2203,21.399999618530277,20.850000381469727,2204,2209,5,0.02570089938619932,5,True
AMLX,3.538120022593624,22.540000915527344,1304210.0,Short,0,2203,23.3799991607666,21.709999084472656,2204,2209,5,0.07142857725573964,5,True
APGE,3.4026929535323305,20.75,218980.0,Short,0,2203,21.43000030517578,23.5,2204,2224,20,-0.09659354481316884,4,False
ATAT,4.3879122982909005,20.540000915527344,318960.0,Short,0,2203,20.06999969482422,19.780000686645508,2204,2224,20,0.014449377807090737,4,False
ATMU,4.133623658432708,24.5,280390.0,Short,0,2203,24.290000915527344,22.950000762939453,2204,2209,5,0.05516673948461227,5,True
BAM,4.516298968393869,33.84000015258789,867690.0,Short,0,2203,33.34000015258789,32.9900016784668,2204,2209,5,0.010497854604656517,5,True
BJDX,4.918860645123565,62.63999938964844,249979.9,Short,0,2203,46.0,49.91999816894531,2204,2224,20,-0.08521735149881114,1,False
BLCO,3.8350667170269497,19.739999771118164,316430.0,Short,0,2203,19.350000381469727,18.600000381469727,2204,2209,5,0.038759689158364447,5,True
BLTE,5.288600154849312,24.100000381469727,121350.0,Short,0,2203,21.809999465942383,36.63999938964844,2204,2224,20,-0.6799633327301995,1,False
BRZE,4.981105556442781,44.290000915527344,503030.0,Short,0,2203,44.369998931884766,40.38999938964844,2204,2209,5,0.08970023975764077,5,True
CAVA,5.85302615418149,52.90999984741211,1388950.0,Short,0,2203,56.9900016784668,50.5099983215332,2204,2209,5,0.11370421417941473,5,True
CEG,4.47369781231668,95.73999786376952,1755280.0,Short,0,2203,96.3000030517578,105.54000091552734,2204,2224,20,-0.09595013053949103,1,False
COCO,4.383036533927448,26.530000686645508,365020.0,Short,0,2203,26.38999938964844,28.239999771118164,2204,2224,20,-0.07010232755804426,4,False
CR,4.718083117519452,94.25,286890.0,Short,0,2203,92.69000244140624,90.31999969482422,2204,2209,5,0.025569130263862153,5,True
CRBG,3.849667748763335,18.920000076293945,1254210.0,Short,0,2203,18.739999771118164,17.829999923706055,2204,2214,10,0.048559224040898276,5,True
EE,4.034163850677124,20.979999542236328,124630.0,Short,0,2203,21.020000457763672,19.5,2204,2214,10,0.07231210393253176,5,True
ESAB,4.444891854977798,67.5,250070.0,Short,0,2203,73.3499984741211,72.0199966430664,2204,2209,5,0.018132268012574407,5,True
FLNC,4.444379946088693,27.32999992370605,1000730.0,Short,0,2203,28.850000381469727,27.6200008392334,2204,2209,5,0.04263429899385212,5,True
FTRE,4.409037521777521,31.729999542236328,1370400.0,Short,0,2203,30.809999465942383,30.6299991607666,2204,2209,5,0.005842269013173954,5,True
GEHC,4.022366296454291,77.87000274658203,3812920.0,Short,0,2203,77.69000244140625,73.93000030517578,2204,2209,5,0.0483975031287489,5,True
GFS,4.294839613614819,62.75,2095380.0,Short,0,2203,62.22999954223633,60.130001068115234,2204,2209,5,0.03374575750552267,5,True
GPCR,4.983092721495438,36.220001220703125,160890.0,Short,0,2203,36.41999816894531,30.0,2204,2209,5,0.1762767295913686,5,True
GTLB,4.489589743069474,47.97999954223633,1584710.0,Short,0,2203,48.5,45.45000076293945,2204,2209,5,0.06288658220743396,5,True
HCP,4.193756350606276,29.26000022888184,1744060.0,Short,0,2203,29.18000030517578,27.979999542236328,2204,2211,7,0.04112408328956062,5,True
INFA,3.4955752903890707,18.61000061035156,259980.0,Short,0,2203,19.15999984741211,20.46999931335449,2204,2224,20,-0.06837158018658948,1,False
IOT,4.7296376294126565,27.709999084472656,2301810.0,Short,0,2203,27.459999084472656,24.670000076293945,2204,2209,5,0.10160229793147825,5,True
KNF,4.790679952321272,43.90999984741211,352710.0,Short,0,2203,43.77000045776367,50.5099983215332,2204,2224,20,-0.1539866984985153,0,False
KSCP,5.949594623824001,75.5,172658.4,Short,0,2203,71.5,63.0,2204,2210,6,0.11888111888111888,5,True
KVUE,3.658427259553215,24.39999961853028,13062170.0,Short,0,2203,23.649999618530277,23.3700008392334,2204,2211,7,0.011839272042841539,5,True
MBLY,3.788385649293396,37.66999816894531,2994310.0,Short,0,2203,38.27000045776367,36.72999954223633,2204,2215,11,0.04024042061946018,5,True
MSGE,4.304249863195799,35.40999984741211,262140.0,Short,0,2203,33.66999816894531,32.5099983215332,2204,2210,6,0.034452031793753,5,True
NXT,4.842586761768379,42.72999954223633,1828850.0,Short,0,2203,43.34000015258789,41.22999954223633,2204,2209,5,0.04868483163181465,5,True
ODD,6.954423727121091,50.59999847412109,1365420.0,Short,0,2203,53.2599983215332,52.380001068115234,2204,2212,8,0.016522667689649228,5,True
PHIN,4.268755414184068,27.34000015258789,1506550.0,Short,0,2203,29.059999465942383,28.209999084472656,2204,2210,6,0.02924984160670431,5,True
PKST,3.440167346058352,23.75,140980.0,Short,0,2203,22.979999542236328,21.459999084472656,2204,2210,6,0.06614449469287287,5,True
PTLO,4.06478591930758,22.82999992370605,422150.0,Short,0,2203,22.690000534057617,19.1200008392334,2204,2209,5,0.1573380172232989,5,True
RIVN,4.780548308545665,26.940000534057617,64518420.4,Short,0,2203,27.299999237060547,24.799999237060547,2204,2209,5,0.09157509413429496,5,True
RXO,4.226047727552558,21.8700008392334,802240.0,Short,0,2203,21.920000076293945,19.850000381469727,2204,2209,5,0.09443429231840575,5,True
SDRL,5.044979160043511,46.59000015258789,787190.0,Short,0,2203,47.66999816894531,46.09000015258789,2204,2209,5,0.033144495008324,5,True
SKWD,4.1243862369663935,24.3700008392334,188780.0,Short,0,2203,23.799999237060547,23.76000022888184,2204,2220,16,0.0016806306496187737,5,True
SLRN,4.751650600449742,25.3799991607666,479390.0,Short,0,2203,24.63999938964844,24.51000022888184,2204,2222,18,0.0052759400968660644,5,True
SVV,4.031496022284677,24.450000762939453,460380.0,Short,0,2203,24.1299991607666,23.190000534057617,2204,2209,5,0.03895560130136038,5,True
TLN,5.266148454006018,54.25,104530.0,Short,0,2203,54.09999847412109,54.0,2204,2216,12,0.00184840068283775,5,True
TLNE,5.266148454006018,54.25,104530.5,Short,0,2203,54.09999847412109,54.0,2204,2216,12,0.00184840068283775,5,True
TPG,4.509110439837405,30.09000015258789,451290.0,Short,0,2203,29.51000022888184,27.51000022888184,2204,2211,7,0.06777363552991683,5,True
UHAL-B,4.530738020754752,57.040000915527344,277571.7,Short,0,2203,57.25,54.4900016784668,2204,2210,6,0.048209577668702236,5,True
VTMX,5.331447843942794,36.560001373291016,182980.0,Short,0,2203,35.630001068115234,33.95000076293945,2204,2209,5,0.04715128416538805,5,True
VTS,4.65724102685776,24.84000015258789,254420.0,Short,0,2203,24.530000686645508,24.09000015258789,2204,2211,7,0.01793724100045215,5,True
VTYX,4.613197974894663,37.2400016784668,447550.0,Short,0,2203,37.18999862670898,33.060001373291016,2204,2209,5,0.11105128813992199,5,True
MLTX,3.668532571373874,61.2599983215332,570550.0,Short,0,2203,57.84999847412109,54.2400016784668,2204,2209,5,0.06240271202892433,5,True
XPO,3.912236925226869,71.5999984741211,2428540.0,Short,0,2203,69.22000122070312,72.55000305175781,2204,2224,20,-0.04810750899060533,4,False
JOE,3.6022979957054964,64.51000213623047,220250.0,Short,0,2203,62.900001525878906,62.41999816894531,2204,2211,7,0.007631213756586417,5,True
CCCC,-3.1946463023124787,3.640000104904175,460090.0,Long,0,2202,3.890000104904175,3.150000095367432,2203,2223,20,-0.1902313597893776,0,False
ACLX,3.873462140244421,33.09000015258789,403210.0,Short,0,2202,34.25,33.65999984741211,2203,2212,9,0.017226281827383668,5,True
AESI,4.234008870033902,19.190000534057617,350470.0,Short,0,2202,19.75,21.5,2203,2223,20,-0.08860759493670886,0,False
AMLX,3.731503389634664,22.26000022888184,1148080.0,Short,0,2202,23.450000762939453,22.0,2203,2208,5,0.061833719222348364,5,True
APGE,3.805551524341101,21.290000915527344,659860.0,Short,0,2202,21.399999618530277,23.32999992370605,2203,2223,20,-0.09018693175604477,4,False
ATAT,4.080828234191755,19.09000015258789,253190.0,Short,0,2202,20.26000022888184,19.479999542236328,2203,2223,20,0.038499539873330005,5,True
ATMU,4.407367621866947,24.34000015258789,290440.0,Short,0,2202,23.850000381469727,23.399999618530277,2203,2210,7,0.0188679562155931,5,True
BAM,4.8325408919991775,33.560001373291016,902730.0,Short,0,2202,33.720001220703125,33.029998779296875,2203,2208,5,0.020462705113504207,5,True
BLCO,3.971200564354228,19.34000015258789,307200.0,Short,0,2202,19.8700008392334,18.690000534057617,2203,2208,5,0.05938602190926262,5,True
BLTE,4.24703710935297,20.549999237060547,113630.0,Short,0,2202,23.21999931335449,22.540000915527344,2203,2209,6,0.02928503091884496,5,True
BRZE,5.22025972943668,43.13999938964844,508910.0,Short,0,2202,45.459999084472656,40.93999862670898,2203,2208,5,0.09942808070375728,5,True
CAVA,5.948134062515269,49.880001068115234,1508760.0,Short,0,2202,57.11000061035156,52.959999084472656,2203,2208,5,0.0726668093420873,5,True
CEG,4.816858720141193,95.41999816894533,1767680.0,Short,0,2202,96.6500015258789,105.37000274658205,2203,2223,20,-0.09022246335265996,2,False
COCO,4.547675417148981,25.8700008392334,363800.0,Short,0,2202,26.420000076293945,26.309999465942383,2203,2216,13,0.004163535580390233,5,True
CR,5.060072763734863,93.54000091552734,328310.0,Short,0,2202,93.69000244140624,91.4499969482422,2203,2208,5,0.023908692867896278,5,True
CRBG,4.117003012591711,18.81999969482422,1240740.0,Short,0,2202,18.709999084472656,17.829999923706055,2203,2214,11,0.04703362927991316,5,True
CRDO,3.418328792850938,16.969999313354492,1894140.0,Short,0,2202,16.969999313354492,16.40999984741211,2203,2208,5,0.0329993805893494,5,True
EE,4.183818605676236,20.540000915527344,142640.0,Short,0,2202,21.21999931335449,20.51000022888184,2203,2211,8,0.03345895888063587,5,True
EMBC,3.444154802995699,21.200000762939453,704730.0,Short,0,2202,21.34000015258789,20.82999992370605,2203,2212,9,0.023898792185340825,5,True
ESAB,4.809239853973441,67.52999877929688,258290.0,Short,0,2202,68.69999694824219,70.86000061035156,2203,2223,20,-0.03144110273740911,4,False
FLNC,4.943908346546974,27.76000022888184,983960.0,Short,0,2202,29.239999771118164,27.149999618530277,2203,2208,5,0.07147743395854218,5,True
FTRE,5.030548067758365,33.0099983215332,1451800.0,Short,0,2202,31.959999084472656,30.209999084472656,2203,2208,5,0.054755946499704826,5,True
GEHC,4.263319450286661,76.86000061035156,3699320.0,Short,0,2202,78.0,75.58999633789062,2203,2208,5,0.030897482847556088,5,True
GFS,4.516385165144922,61.459999084472656,2063450.0,Short,0,2202,63.68999862670898,59.150001525878906,2203,2208,5,0.07128273196297703,5,True
GPCR,5.064238578487277,34.599998474121094,172650.0,Short,0,2202,36.83000183105469,26.489999771118164,2203,2208,5,0.2807494310580766,5,True
GTLB,4.707263017127239,46.875,1675410.0,Short,0,2202,49.630001068115234,47.400001525878906,2203,2208,5,0.04493249031318256,5,True
HCP,4.347240866733609,28.51000022888184,1763120.0,Short,0,2202,29.61000061035156,28.850000381469727,2203,2209,6,0.02566701159121688,5,True
INFA,3.683428537279216,18.39999961853028,266600.0,Short,0,2202,19.040000915527344,20.350000381469727,2203,2223,20,-0.068802489650831,1,False
IOT,4.6184780121232505,26.01000022888184,2440680.0,Short,0,2202,27.940000534057617,25.290000915527344,2203,2208,5,0.09484608331700073,5,True
KNF,5.133030167199066,43.58000183105469,356400.0,Short,0,2202,43.470001220703125,49.810001373291016,2203,2223,20,-0.14584771047966724,0,False
KSCP,6.263001233988873,73.0,215514.0,Short,0,2202,71.5,63.0,2203,2210,7,0.11888111888111888,5,True
KVUE,3.89305217388783,24.239999771118164,12123730.0,Short,0,2202,23.68000030517578,23.350000381469727,2203,2210,7,0.013935807409340532,5,True
MBLY,4.139979087302819,38.0099983215332,2855280.0,Short,0,2202,38.18000030517578,36.72999954223633,2203,2215,12,0.03797801863146887,5,True
MSGE,4.51391019793416,34.709999084472656,274110.0,Short,0,2202,34.84000015258789,33.720001220703125,2203,2208,5,0.032146926721571004,5,True
NXT,5.505024017528528,44.18999862670898,1724770.0,Short,0,2202,42.34999847412109,41.22999954223633,2203,2209,6,0.026446256723460307,5,True
ODD,7.442256577137205,49.130001068115234,1318060.0,Short,0,2202,53.290000915527344,50.5,2203,2210,7,0.052355054749387495,5,True
PHIN,4.4879623565241005,26.90999984741211,1638870.0,Short,0,2202,28.3700008392334,26.84000015258789,2203,2215,12,0.053930230574037966,5,True
PKST,3.6048713675923167,23.39999961853028,144350.0,Short,0,2202,25.34000015258789,22.0,2203,2208,5,0.13180742432816392,5,True
PTLO,4.391255006974317,22.799999237060547,426710.0,Short,0,2202,23.049999237060547,19.63999938964844,2203,2208,5,0.14793926074970953,5,True
RIVN,4.90907304356524,26.049999237060547,65088480.4,Short,0,2202,27.63999938964844,24.280000686645508,2203,2208,5,0.12156290800285975,5,True
RXO,4.420661986907376,21.479999542236328,852080.0,Short,0,2202,22.049999237060547,20.11000061035156,2203,2208,5,0.08798180017386732,5,True
SDRL,5.354778587235997,45.77000045776367,749430.0,Short,0,2202,48.90999984741211,46.310001373291016,2203,2208,5,0.053158832186311344,5,True
SKWD,4.552068071521751,24.64999961853028,196610.0,Short,0,2202,23.690000534057617,23.40999984741211,2203,2222,19,0.011819361770083902,5,True
SLRN,4.825198387568803,24.39999961853028,489810.0,Short,0,2202,24.84000015258789,24.559999465942383,2203,2209,6,0.011272169280415108,5,True
SVV,4.368662516690852,24.56999969482422,467500.0,Short,0,2202,24.170000076293945,23.850000381469727,2203,2208,5,0.01323954049706752,5,True
SXTP,3.752795362686828,26.280000686645508,200961.6,Short,0,2202,26.8799991607666,20.399999618530277,2203,2208,5,0.24107141906813656,5,True
TLN,5.493499419299946,52.5,119810.0,Short,0,2202,54.25,54.0,2203,2208,5,0.004608294930875576,5,True
TLNE,5.493499419299946,52.5,119807.3,Short,0,2202,54.25,54.0,2203,2208,5,0.004608294930875576,5,True
TPG,4.819731933312224,29.81999969482422,417910.0,Short,0,2202,29.43000030517578,27.51000022888184,2203,2211,8,0.06523955339396569,5,True
UHAL-B,4.895159109691591,56.959999084472656,284150.3,Short,0,2202,57.209999084472656,54.4900016784668,2203,2210,7,0.04754409105984574,5,True
VTMX,5.638824043422355,35.81999969482422,179440.0,Short,0,2202,36.27000045776367,34.25,2203,2208,5,0.055693422450213574,5,True
VTS,4.835543678496747,24.21999931335449,253770.0,Short,0,2202,25.190000534057617,24.56999969482422,2203,2208,5,0.024612974437818656,5,True
VTYX,4.680282860787632,35.619998931884766,465640.0,Short,0,2202,37.04999923706055,33.060001373291016,2203,2209,6,0.10769225225188123,5,True
CELH,3.547102938138454,48.143333435058594,3045390.0,Short,0,2202,48.23333358764648,47.7400016784668,2203,2208,5,0.01022802847087543,5,True
JOE,5.363600336900398,64.55999755859375,180980.0,Short,0,2202,63.47999954223633,62.09000015258789,2203,2208,5,0.021896650908505497,5,True
MLTX,3.632861881496285,60.220001220703125,656000.0,Short,0,2202,60.810001373291016,53.18000030517578,2203,2208,5,0.12547279881277038,5,True
CAMT,3.7665110872515424,46.0,429840.0,Short,0,2202,47.61000061035156,47.47999954223633,2203,2209,6,0.0027305411982491974,5,True
MCIC,-3.0062944691901805,0.0007999999797903,277981.0,Long,0,2204,0.0007999999797903,0.001300000003539,2205,2210,5,0.6250000454747042,5,True
BAM,3.610899298028955,33.720001220703125,846630.0,Short,0,2204,32.279998779296875,34.58000183105469,2205,2225,20,-0.07125164618137918,0,False
BLTE,3.870225024683108,23.21999931335449,125670.0,Short,0,2204,21.100000381469727,32.36000061035156,2205,2225,20,-0.5336492902990895,0,False
BRZE,4.185311378997223,45.459999084472656,453420.0,Short,0,2204,42.43000030517578,41.59000015258789,2205,2211,6,0.01979731667561228,5,True
CAVA,5.256648392409253,57.11000061035156,1499170.0,Short,0,2204,55.31999969482422,48.09000015258789,2205,2211,6,0.1306941356131781,5,True
CEG,3.7155198782591192,96.6500015258789,1677160.0,Short,0,2204,95.5500030517578,105.73999786376952,2205,2225,20,-0.10664567751496537,0,False
COCO,3.459336385640104,26.420000076293945,359320.0,Short,0,2204,25.06999969482422,28.670000076293945,2205,2225,20,-0.14359794277193222,2,False
CR,3.8578914621014126,93.69000244140624,289360.0,Short,0,2204,92.43000030517578,89.61000061035156,2205,2210,5,0.03050957141094273,5,True
ESAB,3.718946568890024,68.69999694824219,276770.0,Short,0,2204,71.7300033569336,71.33999633789062,2205,2213,8,0.005437153224464052,5,True
FLNC,3.9725516717467633,29.239999771118164,960680.0,Short,0,2204,27.6299991607666,24.1200008392334,2205,2213,8,0.12703577372949212,5,True
FTRE,3.641057346643339,31.959999084472656,1282020.0,Short,0,2204,30.0,26.520000457763672,2205,2216,11,0.11599998474121094,5,True
GFS,3.5704320736476385,63.68999862670898,2030660.0,Short,0,2204,60.34999847412109,59.209999084472656,2205,2210,5,0.018889799808980572,5,True
GPCR,4.128930679123979,36.83000183105469,159120.0,Short,0,2204,31.86000061035156,28.11000061035156,2205,2210,5,0.11770244595606179,5,True
GTLB,3.816428013950333,49.630001068115234,1528060.0,Short,0,2204,45.96500015258789,45.77999877929688,2205,2213,8,0.0040248313429102145,5,True
HCP,3.406344064371005,29.61000061035156,1693800.0,Short,0,2204,27.979999542236328,29.13999938964844,2205,2225,20,-0.04145817964225023,2,False
IOT,3.830069129891704,27.940000534057617,2383780.0,Short,0,2204,26.11000061035156,23.850000381469727,2205,2211,6,0.08655688150332075,5,True
KNF,3.879293173735919,43.470001220703125,352140.0,Short,0,2204,44.18000030517578,50.66999816894531,2205,2225,20,-0.14689899997599626,0,False
KSCP,4.5432138005752165,71.5,126471.8,Short,0,2204,71.5,63.0,2205,2210,5,0.11888111888111888,5,True
MSGE,3.415695661723272,34.84000015258789,252620.0,Short,0,2204,33.58000183105469,32.33000183105469,2205,2211,6,0.03722453638593919,5,True
NXT,3.8823574444602342,42.34999847412109,1791180.0,Short,0,2204,41.72999954223633,40.91999816894531,2205,2210,5,0.01941052916789961,5,True
ODD,6.018107138530963,53.290000915527344,1404530.0,Short,0,2204,54.2599983215332,52.380001068115234,2205,2212,7,0.03464794160658659,5,True
PHIN,3.6834489756692377,28.3700008392334,1470780.0,Short,0,2204,29.8799991607666,28.209999084472656,2205,2210,5,0.05589023170009687,5,True
RIVN,3.9808802049631535,27.63999938964844,61604980.4,Short,0,2204,25.90999984741211,21.90999984741211,2205,2211,6,0.15438054896011588,5,True
SDRL,4.376164786379169,48.90999984741211,932110.0,Short,0,2204,46.93999862670898,48.7400016784668,2205,2225,20,-0.0383468918708833,3,False
SLRN,3.676491268620497,24.84000015258789,481940.0,Short,0,2204,25.06999969482422,24.899999618530277,2205,2211,6,0.006781016288924759,5,True
SN,8.018447493171553,42.310001373291016,120010.0,Short,0,2204,36.91999816894531,29.950000762939453,2205,2210,5,0.1887865046501699,5,True
TLN,4.32586982888625,54.25,116780.0,Short,0,2204,53.375,55.0,2205,2225,20,-0.03044496487119438,1,False
TLNE,4.32586982888625,54.25,116773.7,Short,0,2204,53.375,55.0,2205,2225,20,-0.03044496487119438,1,False
TPG,3.4639490607789813,29.43000030517578,471870.0,Short,0,2204,29.09000015258789,27.280000686645508,2205,2213,8,0.06222067571152496,5,True
