Security,Blocks_Appeared,Unique_Clusters,Stability_Score,Classification
ACGL,10,8,0.125,Volatile
ACGX,10,10,0.1,Volatile
ACGYF,10,9,0.1111111111111111,Volatile
ACHC,10,9,0.1111111111111111,Volatile
ACHFF,10,10,0.1,Volatile
ACHKF,10,10,0.1,Volatile
ACHL,10,10,0.1,Volatile
ACHR,10,10,0.1,Volatile
ACHV,10,9,0.1111111111111111,Volatile
ACI,10,10,0.1,Volatile
ACIC,10,7,0.14285714285714285,Volatile
ACITF,10,10,0.1,Volatile
ACIU,10,9,0.1111111111111111,Volatile
ACIW,10,10,0.1,Volatile
ACIXF,10,10,0.1,Volatile
ACJJF,10,10,0.1,Volatile
ACKAF,10,10,0.1,Volatile
ACKAY,10,9,0.1111111111111111,Volatile
ACKDF,10,10,0.1,Volatile
ACKRF,10,9,0.1111111111111111,Volatile
ACLEW,10,10,0.1,Volatile
ACLHF,10,10,0.1,Volatile
ACLIF,10,10,0.1,Volatile
ACLLF,10,9,0.1111111111111111,Volatile
ACLLY,10,10,0.1,Volatile
ACLS,10,10,0.1,Volatile
ACLTF,10,9,0.1111111111111111,Volatile
ACLX,10,10,0.1,Volatile
ACM,10,9,0.1111111111111111,Volatile
ACMB,10,8,0.125,Volatile
ACMDY,10,10,0.1,Volatile
ACMLF,10,10,0.1,Volatile
ACMNF,10,10,0.1,Volatile
ACMR,10,9,0.1111111111111111,Volatile
ACMT,10,9,0.1111111111111111,Volatile
ACMTA,10,9,0.1111111111111111,Volatile
ACN,10,9,0.1111111111111111,Volatile
ACNB,10,9,0.1111111111111111,Volatile
ACNDF,10,8,0.125,Volatile
ACNE,10,10,0.1,Volatile
ACNFF,10,10,0.1,Volatile
ACNI,10,8,0.125,Volatile
ACNT,10,9,0.1111111111111111,Volatile
ACNV,10,10,0.1,Volatile
ACOGF,10,10,0.1,Volatile
ACON,10,10,0.1,Volatile
ACONW,10,10,0.1,Volatile
ACOPF,10,9,0.1111111111111111,Volatile
ACOPY,10,10,0.1,Volatile
ACPS,10,10,0.1,Volatile
ACR,10,10,0.1,Volatile
ACRB,10,10,0.1,Volatile
ACRDF,10,10,0.1,Volatile
ACRE,10,10,0.1,Volatile
ACRFF,10,10,0.1,Volatile
ACRG,10,10,0.1,Volatile
ACRHF,10,10,0.1,Volatile
ACRL,10,10,0.1,Volatile
ACRS,10,10,0.1,Volatile
ACRV,10,10,0.1,Volatile
ACRXF,10,10,0.1,Volatile
ACSAF,10,8,0.125,Volatile
ACSAY,10,10,0.1,Volatile
ACST,10,10,0.1,Volatile
ACSYF,10,9,0.1111111111111111,Volatile
ACT,10,10,0.1,Volatile
ACTG,10,8,0.125,Volatile
ACTHD,10,10,0.1,Volatile
ACTHF,10,10,0.1,Volatile
ACTL,10,10,0.1,Volatile
ACTU,10,10,0.1,Volatile
ACTX,10,9,0.1111111111111111,Volatile
ACU,10,10,0.1,Volatile
ACUR,10,9,0.1111111111111111,Volatile
ACUS,10,10,0.1,Volatile
ACUT,10,10,0.1,Volatile
ACVA,10,10,0.1,Volatile
ACWRF,10,10,0.1,Volatile
ACXIF,10,9,0.1111111111111111,Volatile
ACXP,10,10,0.1,Volatile
ADAD,10,9,0.1111111111111111,Volatile
ADAG,10,10,0.1,Volatile
ADAP,10,9,0.1111111111111111,Volatile
ADBE,10,9,0.1111111111111111,Volatile
ADBKF,10,10,0.1,Volatile
ADBRF,10,10,0.1,Volatile
ADC,10,9,0.1111111111111111,Volatile
ADCNF,10,10,0.1,Volatile
ADCOF,10,10,0.1,Volatile
ADCT,10,10,0.1,Volatile
ADCV,10,10,0.1,Volatile
ADD,10,10,0.1,Volatile
ADDDF,10,10,0.1,Volatile
ADDHY,10,10,0.1,Volatile
ADDYY,10,10,0.1,Volatile
ADEA,10,10,0.1,Volatile
ADERY,10,9,0.1111111111111111,Volatile
ADFJF,10,10,0.1,Volatile
ADFS,10,10,0.1,Volatile
ADGCF,10,10,0.1,Volatile
ADGM,10,10,0.1,Volatile
ADGO,10,9,0.1111111111111111,Volatile
ADHC,10,10,0.1,Volatile
ADHI,10,10,0.1,Volatile
ADHLF,10,9,0.1111111111111111,Volatile
ADI,10,10,0.1,Volatile
ADIA,10,10,0.1,Volatile
ADIL,10,9,0.1111111111111111,Volatile
ADKIL,10,10,0.1,Volatile
ADLI,10,8,0.125,Volatile
ADLRF,10,9,0.1111111111111111,Volatile
ADM,10,9,0.1111111111111111,Volatile
ADMA,10,10,0.1,Volatile
ADMG,10,10,0.1,Volatile
ADMLF,10,10,0.1,Volatile
ADMNF,10,10,0.1,Volatile
ADMQ,10,10,0.1,Volatile
ADMT,10,10,0.1,Volatile
ADN,10,9,0.1111111111111111,Volatile
ADNT,10,9,0.1111111111111111,Volatile
ADNWW,10,10,0.1,Volatile
ADOOY,10,8,0.125,Volatile
ADP,10,10,0.1,Volatile
ADPPF,10,10,0.1,Volatile
ADPT,10,10,0.1,Volatile
ADPXF,10,10,0.1,Volatile
ADPXY,10,10,0.1,Volatile
ADRGF,10,10,0.1,Volatile
ADRNY,10,10,0.1,Volatile
ADRT,10,10,0.1,Volatile
ADRZF,10,10,0.1,Volatile
ADRZY,10,7,0.14285714285714285,Volatile
ADSE,10,10,0.1,Volatile
ADSEW,10,10,0.1,Volatile
ADSGF,10,10,0.1,Volatile
ADSK,10,9,0.1111111111111111,Volatile
ADST,10,9,0.1111111111111111,Volatile
ADSV,10,10,0.1,Volatile
ADT,10,10,0.1,Volatile
ADTLF,10,10,0.1,Volatile
ADTN,10,10,0.1,Volatile
ADTR,10,9,0.1111111111111111,Volatile
ADTTF,10,10,0.1,Volatile
ADTX,10,10,0.1,Volatile
ADUS,10,10,0.1,Volatile
ADV,10,10,0.1,Volatile
ADVM,10,10,0.1,Volatile
ADVNF,10,10,0.1,Volatile
ADVOF,10,10,0.1,Volatile
ADVT,10,9,0.1111111111111111,Volatile
ADVWW,10,10,0.1,Volatile
ADWPF,10,10,0.1,Volatile
ADWYF,10,10,0.1,Volatile
ADXDF,10,10,0.1,Volatile
ADXN,10,10,0.1,Volatile
ADXRF,10,9,0.1111111111111111,Volatile
ADXS,10,10,0.1,Volatile
ADYEY,10,10,0.1,Volatile
ADYRF,10,10,0.1,Volatile
ADYX,10,8,0.125,Volatile
ADYYF,10,10,0.1,Volatile
AE,10,10,0.1,Volatile
AEAE,10,10,0.1,Volatile
AEAEW,10,10,0.1,Volatile
AEBZY,10,9,0.1111111111111111,Volatile
AECFF,10,10,0.1,Volatile
AECLY,10,10,0.1,Volatile
AECX,10,9,0.1111111111111111,Volatile
AEDFF,10,10,0.1,Volatile
AEE,10,9,0.1111111111111111,Volatile
AEG,10,9,0.1111111111111111,Volatile
AEGXF,10,9,0.1111111111111111,Volatile
AEGY,10,10,0.1,Volatile
AEHL,10,10,0.1,Volatile
AEHR,10,9,0.1111111111111111,Volatile
AEI,10,10,0.1,Volatile
AEIS,10,10,0.1,Volatile
AEM,10,10,0.1,Volatile
AEMD,10,9,0.1111111111111111,Volatile
AEMFF,10,10,0.1,Volatile
AEMMF,10,9,0.1111111111111111,Volatile
AEMMY,10,9,0.1111111111111111,Volatile
AENT,10,10,0.1,Volatile
AENTW,10,10,0.1,Volatile
AEO,10,9,0.1111111111111111,Volatile
AEON,10,10,0.1,Volatile
AEOXF,10,9,0.1111111111111111,Volatile
AEP,10,10,0.1,Volatile
AEPLF,10,9,0.1111111111111111,Volatile
AEPT,10,9,0.1111111111111111,Volatile
AER,10,10,0.1,Volatile
AERG,10,10,0.1,Volatile
AERGP,10,10,0.1,Volatile
AERN,10,9,0.1111111111111111,Volatile
AERS,10,10,0.1,Volatile
AERT,10,10,0.1,Volatile
AERTW,10,10,0.1,Volatile
AES,10,8,0.125,Volatile
AESI,10,10,0.1,Volatile
AESO,10,10,0.1,Volatile
AETHF,10,9,0.1111111111111111,Volatile
AETUF,10,10,0.1,Volatile
AEVA,10,10,0.1,Volatile
AEVA-WT,10,10,0.1,Volatile
AEVIF,10,10,0.1,Volatile
AEXAF,10,10,0.1,Volatile
AEXAY,10,10,0.1,Volatile
AEXE,10,9,0.1111111111111111,Volatile
AEXFF,10,9,0.1111111111111111,Volatile
AEYE,10,10,0.1,Volatile
AEYGQ,10,10,0.1,Volatile
AFAR,10,10,0.1,Volatile
AFBI,10,10,0.1,Volatile
AFCG,10,10,0.1,Volatile
AFCL,10,8,0.125,Volatile
AFDG,10,9,0.1111111111111111,Volatile
AFFL,10,10,0.1,Volatile
AFFN,10,10,0.1,Volatile
AFFS,10,9,0.1111111111111111,Volatile
AFFT,10,10,0.1,Volatile
AFFU,10,10,0.1,Volatile
AFFY,10,10,0.1,Volatile
AFG,10,10,0.1,Volatile
AFGE,10,10,0.1,Volatile
AFGVF,10,10,0.1,Volatile
AFGVY,10,10,0.1,Volatile
AFGYF,10,10,0.1,Volatile
AFIB,10,10,0.1,Volatile
AFIIQ,10,10,0.1,Volatile
AFJK,10,10,0.1,Volatile
AFJKR,10,10,0.1,Volatile
AFJKU,10,10,0.1,Volatile
AFL,10,10,0.1,Volatile
AFLYY,10,10,0.1,Volatile
AFMD,10,10,0.1,Volatile
AFMJF,10,8,0.125,Volatile
AFML,10,10,0.1,Volatile
AFNL,10,10,0.1,Volatile
AFOM,10,10,0.1,Volatile
AFPW,10,10,0.1,Volatile
AFRAF,10,10,0.1,Volatile
AFRI,10,10,0.1,Volatile
AFRIW,10,10,0.1,Volatile
AFRM,10,10,0.1,Volatile
AFRMF,10,9,0.1111111111111111,Volatile
AFSIA,10,9,0.1111111111111111,Volatile
AFSIB,10,8,0.125,Volatile
AFSIC,10,8,0.125,Volatile
AFSIM,10,8,0.125,Volatile
AFSIN,10,8,0.125,Volatile
AFSIP,10,7,0.14285714285714285,Volatile
AFTM,10,10,0.1,Volatile
AFTTF,10,10,0.1,Volatile
AFXXF,10,10,0.1,Volatile
AFYA,10,10,0.1,Volatile
AFYG,10,8,0.125,Volatile
AG,10,10,0.1,Volatile
AGAE,10,10,0.1,Volatile
AGBA,10,10,0.1,Volatile
AGBAW,10,10,0.1,Volatile
AGBIF,10,10,0.1,Volatile
AGCCF,10,9,0.1111111111111111,Volatile
AGCO,10,10,0.1,Volatile
AGCZ,10,9,0.1111111111111111,Volatile
AGDXF,10,10,0.1,Volatile
AGDY,10,10,0.1,Volatile
AGEN,10,9,0.1111111111111111,Volatile
AGESF,10,10,0.1,Volatile
AGESY,10,10,0.1,Volatile
AGFAF,10,9,0.1111111111111111,Volatile
AGFMF,10,10,0.1,Volatile
AGFY,10,10,0.1,Volatile
AGGG,10,10,0.1,Volatile
AGGHF,10,10,0.1,Volatile
AGGI,10,9,0.1111111111111111,Volatile
AGGZF,10,10,0.1,Volatile
AGI,10,10,0.1,Volatile
AGILQ,10,10,0.1,Volatile
AGIN,10,10,0.1,Volatile
AGIO,10,10,0.1,Volatile
AGL,10,10,0.1,Volatile
AGLDF,10,9,0.1111111111111111,Volatile
AGLFF,10,10,0.1,Volatile
AGLXY,10,10,0.1,Volatile
AGLY,10,10,0.1,Volatile
AGM,10,9,0.1111111111111111,Volatile
AGM-A,10,10,0.1,Volatile
AGMH,10,8,0.125,Volatile
AGMJF,10,8,0.125,Volatile
AGMRF,10,10,0.1,Volatile
AGNC,10,10,0.1,Volatile
AGNCL,10,10,0.1,Volatile
AGNMF,10,10,0.1,Volatile
AGNPF,10,9,0.1111111111111111,Volatile
AGNY,10,9,0.1111111111111111,Volatile
AGO,10,9,0.1111111111111111,Volatile
AGOAF,10,9,0.1111111111111111,Volatile
AGORF,10,10,0.1,Volatile
AGPPF,10,8,0.125,Volatile
AGPYY,10,8,0.125,Volatile
AGQPF,10,10,0.1,Volatile
AGR,10,9,0.1111111111111111,Volatile
AGRDF,10,10,0.1,Volatile
AGREF,10,8,0.125,Volatile
AGRI,10,10,0.1,Volatile
AGRO,10,8,0.125,Volatile
AGRPF,10,10,0.1,Volatile
AGRPY,10,10,0.1,Volatile
AGRS,10,9,0.1111111111111111,Volatile
AGRUF,10,9,0.1111111111111111,Volatile
AGS,10,9,0.1111111111111111,Volatile
AGSS,10,9,0.1111111111111111,Volatile
AGSVF,10,9,0.1111111111111111,Volatile
AGTEF,10,9,0.1111111111111111,Volatile
AGTK,10,10,0.1,Volatile
AGTT,10,8,0.125,Volatile
AGTX,10,10,0.1,Volatile
AGX,10,10,0.1,Volatile
AGXKF,10,9,0.1111111111111111,Volatile
AGXPF,10,10,0.1,Volatile
AGXTF,10,10,0.1,Volatile
AGXXF,10,10,0.1,Volatile
AGYP,10,9,0.1111111111111111,Volatile
AGYS,10,9,0.1111111111111111,Volatile
AGYTF,10,8,0.125,Volatile
AGZNF,10,10,0.1,Volatile
AHAG,10,10,0.1,Volatile
AHAHF,10,8,0.125,Volatile
AHCHF,10,10,0.1,Volatile
AHCHY,10,10,0.1,Volatile
AHCO,10,10,0.1,Volatile
AHELF,10,9,0.1111111111111111,Volatile
AHEXF,10,8,0.125,Volatile
AHEXY,10,10,0.1,Volatile
AHFCF,10,10,0.1,Volatile
AHFD,10,7,0.14285714285714285,Volatile
AHFI,10,10,0.1,Volatile
AHG,10,9,0.1111111111111111,Volatile
AHGIF,10,9,0.1111111111111111,Volatile
AHH,10,8,0.125,Volatile
AHIX,10,10,0.1,Volatile
AHKSY,10,9,0.1111111111111111,Volatile
AHLAS,10,10,0.1,Volatile
AHNR,10,10,0.1,Volatile
AHODF,10,8,0.125,Volatile
AHOTF,10,10,0.1,Volatile
AHPIQ,10,8,0.125,Volatile
AHR,10,10,0.1,Volatile
AHRO,10,9,0.1111111111111111,Volatile
AHT,10,10,0.1,Volatile
AHWSF,10,10,0.1,Volatile
AI,10,10,0.1,Volatile
AIABF,10,9,0.1111111111111111,Volatile
AIAD,10,10,0.1,Volatile
AIAGF,10,9,0.1111111111111111,Volatile
AIAGY,10,9,0.1111111111111111,Volatile
AIAPF,10,9,0.1111111111111111,Volatile
AIBGY,10,10,0.1,Volatile
AICAF,10,10,0.1,Volatile
AICOF,10,10,0.1,Volatile
AIDA,10,10,0.1,Volatile
AIEV,10,10,0.1,Volatile
AIFF,10,10,0.1,Volatile
AIFLF,10,10,0.1,Volatile
AIFLY,10,9,0.1111111111111111,Volatile
AIFS,10,8,0.125,Volatile
AIG,10,10,0.1,Volatile
AIGFF,10,10,0.1,Volatile
AIHLF,10,10,0.1,Volatile
AIHS,10,9,0.1111111111111111,Volatile
AIHZF,10,10,0.1,Volatile
AIIXY,10,10,0.1,Volatile
AIJTY,10,10,0.1,Volatile
AIKO,10,9,0.1111111111111111,Volatile
AILE,10,10,0.1,Volatile
AILEW,10,10,0.1,Volatile
AILIH,10,10,0.1,Volatile
AILIM,10,10,0.1,Volatile
AILIN,10,10,0.1,Volatile
AILLM,10,10,0.1,Volatile
AILLN,10,9,0.1111111111111111,Volatile
AILLO,10,10,0.1,Volatile
AILQF,10,10,0.1,Volatile
AIM,10,10,0.1,Volatile
AIMAW,10,10,0.1,Volatile
AIMD,10,10,0.1,Volatile
AIMDW,10,10,0.1,Volatile
AIMFF,10,9,0.1111111111111111,Volatile
AIMH,10,8,0.125,Volatile
AIMLF,10,9,0.1111111111111111,Volatile
AIN,10,10,0.1,Volatile
AINMF,10,10,0.1,Volatile
AINSF,10,9,0.1111111111111111,Volatile
AIOT,10,10,0.1,Volatile
AIP,10,10,0.1,Volatile
AIPG,10,10,0.1,Volatile
AIPUF,10,9,0.1111111111111111,Volatile
AIPUY,10,9,0.1111111111111111,Volatile
AIQUF,10,9,0.1111111111111111,Volatile
AIQUY,10,10,0.1,Volatile
AIR,10,8,0.125,Volatile
AIRE,10,10,0.1,Volatile
AIRG,10,10,0.1,Volatile
AIRI,10,9,0.1111111111111111,Volatile
AIRJ,10,10,0.1,Volatile
AIRJW,10,10,0.1,Volatile
AIRRF,10,9,0.1111111111111111,Volatile
AIRS,10,10,0.1,Volatile
AIRT,10,10,0.1,Volatile
AIRYY,10,10,0.1,Volatile
AISP,10,10,0.1,Volatile
AISPW,10,10,0.1,Volatile
AISSF,10,8,0.125,Volatile
AISXF,10,10,0.1,Volatile
AIT,10,9,0.1111111111111111,Volatile
AITLF,10,10,0.1,Volatile
AITR,10,10,0.1,Volatile
AITRR,10,10,0.1,Volatile
AITRU,10,10,0.1,Volatile
AITTF,10,10,0.1,Volatile
AITVF,10,10,0.1,Volatile
AITX,10,10,0.1,Volatile
AIV,10,10,0.1,Volatile
AIVAF,10,10,0.1,Volatile
AIVN,10,10,0.1,Volatile
AIXI,10,10,0.1,Volatile
AIXN,10,10,0.1,Volatile
AIXXF,10,9,0.1111111111111111,Volatile
AIZ,10,9,0.1111111111111111,Volatile
AIZN,10,10,0.1,Volatile
AJG,10,10,0.1,Volatile
AJIA,10,9,0.1111111111111111,Volatile
AJINY,10,9,0.1111111111111111,Volatile
AJLGF,10,10,0.1,Volatile
AJMPF,10,10,0.1,Volatile
AJOY,10,10,0.1,Volatile
AJX,10,10,0.1,Volatile
AJYG,10,10,0.1,Volatile
AKA,10,10,0.1,Volatile
AKAAF,10,9,0.1111111111111111,Volatile
AKAM,10,10,0.1,Volatile
AKAN,10,10,0.1,Volatile
AKBA,10,8,0.125,Volatile
AKBIF,10,7,0.14285714285714285,Volatile
AKBKF,10,10,0.1,Volatile
AKBLF,10,8,0.125,Volatile
AKBTY,10,10,0.1,Volatile
AKCCF,10,10,0.1,Volatile
AKEMF,10,9,0.1111111111111111,Volatile
AKESF,10,10,0.1,Volatile
AKHOF,10,10,0.1,Volatile
AKKVF,10,8,0.125,Volatile
AKMYF,10,10,0.1,Volatile
AKO-A,10,8,0.125,Volatile
AKO-B,10,8,0.125,Volatile
AKOBF,10,10,0.1,Volatile
AKOM,10,9,0.1111111111111111,Volatile
AKR,10,10,0.1,Volatile
AKRBF,10,10,0.1,Volatile
AKRBY,10,10,0.1,Volatile
AKRFF,10,10,0.1,Volatile
AKRO,10,10,0.1,Volatile
AKRRF,10,9,0.1111111111111111,Volatile
AKRYY,10,10,0.1,Volatile
AKTAF,10,9,0.1111111111111111,Volatile
AKTS,10,9,0.1111111111111111,Volatile
AKTX,10,10,0.1,Volatile
AKVA,10,10,0.1,Volatile
AKYA,10,10,0.1,Volatile
AKZOF,10,10,0.1,Volatile
AKZOY,10,10,0.1,Volatile
AL,10,9,0.1111111111111111,Volatile
ALAB,10,10,0.1,Volatile
ALAR,10,10,0.1,Volatile
ALB,10,10,0.1,Volatile
ALB-PA,10,10,0.1,Volatile
ALBAF,10,10,0.1,Volatile
ALBBY,10,10,0.1,Volatile
ALBHF,10,9,0.1111111111111111,Volatile
ALBKY,10,9,0.1111111111111111,Volatile
ALBT,10,8,0.125,Volatile
ALBY,10,9,0.1111111111111111,Volatile
ALC,10,9,0.1111111111111111,Volatile
ALCE,10,10,0.1,Volatile
ALCIF,10,10,0.1,Volatile
ALCO,10,9,0.1111111111111111,Volatile
ALCUF,10,10,0.1,Volatile
ALCY,10,10,0.1,Volatile
ALCYU,10,10,0.1,Volatile
ALCYW,10,10,0.1,Volatile
ALDA,10,10,0.1,Volatile
ALDNF,10,10,0.1,Volatile
ALDS,10,10,0.1,Volatile
ALDVD,10,9,0.1111111111111111,Volatile
ALDVF,10,9,0.1111111111111111,Volatile
ALDX,10,9,0.1111111111111111,Volatile
ALE,10,9,0.1111111111111111,Volatile
ALEC,10,10,0.1,Volatile
ALEEF,10,10,0.1,Volatile
ALEGF,10,10,0.1,Volatile
ALEX,10,9,0.1111111111111111,Volatile
ALF,10,10,0.1,Volatile
ALFDF,10,10,0.1,Volatile
ALFFF,10,10,0.1,Volatile
ALFIQ,10,10,0.1,Volatile
ALFNF,10,10,0.1,Volatile
ALFUU,10,10,0.1,Volatile
ALFUW,10,10,0.1,Volatile
ALFVF,10,10,0.1,Volatile
ALFVY,10,9,0.1111111111111111,Volatile
ALG,10,10,0.1,Volatile
ALGEF,10,10,0.1,Volatile
ALGGY,10,9,0.1111111111111111,Volatile
ALGLF,10,10,0.1,Volatile
ALGM,10,10,0.1,Volatile
ALGN,10,10,0.1,Volatile
ALGS,10,10,0.1,Volatile
ALGT,10,9,0.1111111111111111,Volatile
ALGWF,10,9,0.1111111111111111,Volatile
ALHC,10,10,0.1,Volatile
ALID,10,10,0.1,Volatile
ALIF,10,10,0.1,Volatile
ALIT,10,10,0.1,Volatile
ALITF,10,9,0.1111111111111111,Volatile
ALIZF,10,9,0.1111111111111111,Volatile
ALIZY,10,9,0.1111111111111111,Volatile
ALK,10,9,0.1111111111111111,Volatile
ALKEF,10,10,0.1,Volatile
ALKHF,10,9,0.1111111111111111,Volatile
ALKM,10,10,0.1,Volatile
ALKS,10,8,0.125,Volatile
ALKT,10,10,0.1,Volatile
ALL,10,9,0.1111111111111111,Volatile
ALLDF,10,10,0.1,Volatile
ALLE,10,10,0.1,Volatile
ALLIF,10,10,0.1,Volatile
ALLK,10,10,0.1,Volatile
ALLO,10,10,0.1,Volatile
ALLR,10,10,0.1,Volatile
ALLT,10,9,0.1111111111111111,Volatile
ALLY,10,9,0.1111111111111111,Volatile
ALME,10,10,0.1,Volatile
ALMMF,10,10,0.1,Volatile
ALMS,10,10,0.1,Volatile
ALMTF,10,9,0.1111111111111111,Volatile
ALMU,10,10,0.1,Volatile
ALNPF,10,9,0.1111111111111111,Volatile
ALNPY,10,10,0.1,Volatile
ALNT,10,9,0.1111111111111111,Volatile
ALNY,10,8,0.125,Volatile
ALOD,10,10,0.1,Volatile
ALORY,10,10,0.1,Volatile
ALOT,10,9,0.1111111111111111,Volatile
ALPC,10,10,0.1,Volatile
ALPE,10,9,0.1111111111111111,Volatile
ALPGF,10,10,0.1,Volatile
ALPIB,10,10,0.1,Volatile
ALPKF,10,10,0.1,Volatile
ALPMF,10,9,0.1111111111111111,Volatile
